AGNO,COD_DEPE,COD_REG_RBD,COD_ENSE,PROM_GRAL
2013,Particular Pagado,Región de Atacama,Educacion Basica,5.9689683860232945
2013,Particular Pagado,Región de Atacama,Educacion Media,5.898194945848375
2013,Particular Pagado,Región de Coquimbo,Educacion Basica,5.895964457608293
2013,Particular Pagado,Región de Coquimbo,Educacion Media,5.6244771494965144
2013,Particular Pagado,Región de La Araucanía,Educacion Basica,5.408587018954624
2013,Particular Pagado,Región de La Araucanía,Educacion Media,5.550359242325277
2013,Particular Pagado,Región de Los Lagos,Educacion Basica,5.905062778452815
2013,Particular Pagado,Región de Los Lagos,Educacion Media,5.693021442495127
2013,Particular Pagado,Región de Los Ríos,Educacion Basica,5.857221838286109
2013,Particular Pagado,Región de Los Ríos,Educacion Media,5.699999999999999
2013,Particular Pagado,Región de Magallanes y Antártica Chilena,Educacion Basica,6.092725936811169
2013,Particular Pagado,Región de Magallanes y Antártica Chilena,Educacion Media,5.717252396166134
2013,Particular Pagado,Región de Tarapacá,Educacion Basica,5.645413363533408
2013,Particular Pagado,Región de Tarapacá,Educacion Media,5.638562091503268
2013,Particular Pagado,Región de Valparaíso,Educacion Basica,5.858524676695699
2013,Particular Pagado,Región de Valparaíso,Educacion Media,5.509830955520921
2013,Particular Pagado,Región del Bío-Bío,Educacion Basica,5.883816425120774
2013,Particular Pagado,Región del Bío-Bío,Educacion Media,5.546208575173188
2013,Particular Pagado,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.961910133483737
2013,Particular Pagado,Región del Libertador Bernardo O'Higgins,Educacion Media,5.527921869996798
2013,Particular Pagado,Región del Maule,Educacion Basica,5.993315177024016
2013,Particular Pagado,Región del Maule,Educacion Media,5.869939879759519
2013,Particular Subvencionado,Región Metropolitana de Santiago,Educacion Basica,5.338648590534301
2013,Particular Subvencionado,Región Metropolitana de Santiago,Educacion Media,4.859583671994942
2013,Particular Subvencionado,Región de Antofagasta,Educacion Basica,5.485423245782947
2013,Particular Subvencionado,Región de Antofagasta,Educacion Media,5.0735993365278285
2013,Particular Subvencionado,Región de Arica y Parinacota,Educacion Basica,5.542846764278529
2013,Particular Subvencionado,Región de Arica y Parinacota,Educacion Media,5.059288266007145
2013,Particular Subvencionado,Región de Atacama,Educacion Basica,5.631241151486551
2013,Particular Subvencionado,Región de Atacama,Educacion Media,5.143935393694673
2013,Particular Subvencionado,Región de Aysén del Gral. Ibañez del Campo,Educacion Basica,5.422498311951384
2013,Particular Subvencionado,Región de Aysén del Gral. Ibañez del Campo,Educacion Media,5.021828021647624
2013,Particular Subvencionado,Región de Coquimbo,Educacion Basica,5.474484393843387
2013,Particular Subvencionado,Región de Coquimbo,Educacion Media,5.117005200231121
2013,Particular Subvencionado,Región de La Araucanía,Educacion Basica,5.246349990288838
2013,Particular Subvencionado,Región de La Araucanía,Educacion Media,4.809447856605666
2013,Particular Subvencionado,Región de Los Lagos,Educacion Basica,5.168661484616637
2013,Particular Subvencionado,Región de Los Lagos,Educacion Media,4.884233146610006
2013,Particular Subvencionado,Región de Los Ríos,Educacion Basica,5.296719898375828
2013,Particular Subvencionado,Región de Los Ríos,Educacion Media,4.953235099650515
2013,Particular Subvencionado,Región de Magallanes y Antártica Chilena,Educacion Basica,5.811610026141781
2013,Particular Subvencionado,Región de Magallanes y Antártica Chilena,Educacion Media,5.381731843575419
2013,Particular Subvencionado,Región de Tarapacá,Educacion Basica,5.368299001642866
2013,Particular Subvencionado,Región de Tarapacá,Educacion Media,4.991140337060955
2013,Particular Subvencionado,Región de Valparaíso,Educacion Basica,5.451381780052605
2013,Particular Subvencionado,Región de Valparaíso,Educacion Media,5.128080657206871
2013,Particular Subvencionado,Región del Bío-Bío,Educacion Basica,5.590421105573591
2013,Particular Subvencionado,Región del Bío-Bío,Educacion Media,5.162444865822994
2013,Particular Subvencionado,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.556493639487518
2013,Particular Subvencionado,Región del Libertador Bernardo O'Higgins,Educacion Media,5.066236416790777
2013,Particular Subvencionado,Región del Maule,Educacion Basica,5.477335824299959
2013,Particular Subvencionado,Región del Maule,Educacion Media,5.227002208531908
2014,Municipal,Región Metropolitana de Santiago,Educacion Basica,5.010870490351045
2014,Municipal,Región Metropolitana de Santiago,Educacion Media,4.493485367286105
2014,Municipal,Región de Antofagasta,Educacion Basica,5.326253184133916
2014,Municipal,Región de Antofagasta,Educacion Media,4.773671450737005
2014,Municipal,Región de Arica y Parinacota,Educacion Basica,5.39516145358842
2014,Municipal,Región de Arica y Parinacota,Educacion Media,4.795934122490993
2014,Municipal,Región de Atacama,Educacion Basica,5.410700732669547
